sc,model,df,true,mean,bias,se,mse
63,cirls,e,2.29645170115774,2.99969635,0.703244648842263,0.281164081834378,0.573598371714956
63,glm,o,5.14008527677189,5,-0.140085276771888,0,0.0196238847682565
63,glm,e,5.14008527677189,NA,NA,NA,NA
64,cirls,o,2.29735393509376,2.2925,-0.00485393509376308,0.914126529935147,0.835567310685895
64,cirls,e,2.29735393509376,2.99530534,0.697951404906237,0.302906717313142,0.578879467756074
64,glm,o,5.00575630515671,5,-0.00575630515671133,0,3.31350490571814e-05
64,glm,e,5.00575630515671,NA,NA,NA,NA
65,cirls,o,2.56450685669863,2.5247,-0.0398068566986312,0.910204788646889,0.829974495840225
65,cirls,e,2.56450685669863,3.0829072,0.518400343301369,0.282995075952677,0.348817120327137
65,glm,o,5.1472760095019,5,-0.147276009501895,0,0.0216902229748023
65,glm,e,5.1472760095019,NA,NA,NA,NA
66,cirls,o,2.92627360624669,2.9109,-0.0153736062466905,0.902353929598263,0.814397537769028
66,cirls,e,2.92627360624669,3.20080777,0.27453416375331,0.30392043266547,0.167727399696356
66,glm,o,5.05771770877516,5,-0.057717708775157,0,0.00333133390625384
66,glm,e,5.05771770877516,NA,NA,NA,NA
67,cirls,o,2.99543235308456,2.9446,-0.0508323530845618,0.900450954351273,0.813314768120113
67,cirls,e,2.99543235308456,3.19377875,0.198346396915438,0.331874181404137,0.149470751404774
67,glm,o,5.13348889490532,5,-0.133488894905325,0,0.0178192850630448
67,glm,e,5.13348889490532,NA,NA,NA,NA
68,cirls,o,3.41149275450188,3.394,-0.0174927545018764,0.84725190089982,0.718069996460063
68,cirls,e,3.41149275450188,3.40660471,-0.00488804450187663,0.333483125678537,0.111223766991868
68,glm,o,5.02442955780316,5,-0.0244295578031579,0,0.000596803294457834
68,glm,e,5.02442955780316,NA,NA,NA,NA
69,cirls,o,3.20095494349577,3.1077,-0.0932549434957712,0.884861010498705,0.791597194486399
69,cirls,e,3.20095494349577,3.26854983,0.0675948865042288,0.315221575086654,0.103923773617491
69,glm,o,5.20133086925739,5,-0.201330869257387,0,0.0405341189159349
69,glm,e,5.20133086925739,NA,NA,NA,NA
70,cirls,o,3.63432595078359,3.6622,0.0278740492164107,0.798720824503499,0.638668122619719
